0.006830, 0.000171, -0.000002, -0.000839 
0.009748, 0.000494, 0.000149, -0.002135 
0.012689, -0.001167, 0.000147, -0.002821 
0.015602, -0.000233, -0.000923, -0.002133 
0.018536, -0.001436, 0.000449, -0.003124 
0.021440, -0.001113, -0.000621, -0.004726 
0.024386, -0.001095, -0.001234, -0.004649 
0.027287, 0.000298, -0.001083, -0.005029 
0.030224, 0.000316, -0.002764, -0.005104 
0.033115, 0.000181, -0.003529, -0.004264 
0.036081, 0.001268, -0.002767, -0.004034 
0.039006, 0.001439, -0.001395, -0.003345 
0.041963, 0.002526, -0.002466, -0.002810 
0.044883, 0.002391, -0.000941, -0.002885 
0.047833, 0.002257, -0.000026, -0.003113 
0.050748, 0.001969, -0.001555, -0.002883 
0.053699, 0.001377, -0.001862, -0.002042 
0.056619, 0.001089, -0.002932, -0.002575 
0.059579, -0.000266, -0.001560, -0.002498 
0.062492, -0.001317, -0.002325, -0.001810 
0.065437, -0.001910, -0.002327, -0.000969 
0.068350, -0.001433, -0.002176, -0.000891 
0.071288, -0.001873, -0.001262, -0.000203 
0.074204, -0.002008, -0.003248, -0.000126 
0.077151, -0.001379, -0.003861, 0.001173 
0.080080, -0.001514, -0.004473, 0.002014 
0.083008, -0.002106, -0.004780, 0.000870 
0.085938, -0.003004, -0.004782, -0.000121 
0.088886, -0.003444, -0.004020, -0.000349 
0.091805, -0.003273, -0.002648, -0.000272 
0.094760, -0.002492, -0.002345, -0.000042 
0.097671, -0.002932, -0.002194, -0.001033 
0.100624, -0.002456, -0.002348, -0.000955 
0.103540, -0.003659, -0.002350, -0.001183 
0.106495, -0.003793, -0.002352, -0.000037 
0.109411, -0.003165, -0.002353, -0.000265 
0.112364, -0.002994, -0.002813, 0.000270 
0.115280, -0.001449, -0.001899, 0.000653 
0.118225, -0.001431, -0.002206, 0.000883 
0.121144, -0.000955, -0.002208, 0.000350 
0.124092, -0.001242, -0.001293, 0.000580 
0.127015, 0.000456, -0.001295, -0.000564 
0.129969, 0.000168, -0.001144, -0.000334 
