Designator,Mid X,Mid Y,Rotation,Layer
J1,36.73,-45.8,90.0,top
J2,41.2,-70.73,0.0,top
J3,35.8,-91.56,0.0,top
J4,40.2,-91.6,0.0,top
J5,57.66,-30.18,270.0,top
J6,57.1425,-65.145,270.0,top
J7,57.16,-77.98,270.0,top
J8,44.61,-91.56,0.0,top
J9,49.0,-91.56,0.0,top
Q1,56.82,-72.15,0.0,top
Q2,56.46,-85.0,0.0,top
R1,56.8,-47.3,0.0,top
R2,56.8,-51.35,0.0,top
R3,56.8,-55.4,0.0,top
U1,40.02,-27.9185,0.0,top
U2,56.62,-40.45,0.0,top
